476	214
548	209
631D	203
1021A	202
975	198
1075	198
330	194
946	191
1043	189
429	187
667	187
638	183
450	182
938	178
936	175
545	170
976	169
839	167
479A	166
538	164
979	164
244B	164
738C	164
1038	163
1078A	163
543	161
564	161
426	159
526	159
625	159
375	156
376	156
678	155
1025	155
578A	155
741B	155
380	151
532	151
972	151
925	150
643	148
825	148
544	147
670	147
477	143
977	143
374	142
474	142
475	142
748B	142
377	141
1077	141
1076	140
569	139
570	139
571	139
637	139
644	139
673	139
674	139
744	139
746	139
566	138
632	138
421B	138
631C	138
448	137
550	137
573	137
1033	137
521B	137
874	136
1065	136
974	135
1074	135
549A	135
345	134
572A	134
534	133
539	133
639	133
629	132
672	132
739	132
647	131
872	131
1034	131
1031B	131
1052B	131
645A	131
1022C	130
229	130
522C	130
578B	130
922D	130
466	129
577	129
775	129
873	129
973	129
1073	129
224B	129
322D	129
422C	129
540	128
551	128
574	128
633	128
648	128
649	128
730	128
740	128
743	128
747	128
865	128
1045	128
378	127
465	127
478	127
565	127
725	127
379B	127
424B	127
479B	127
373	126
473	126
525	126
552	126
636	126
640	126
665	126
728	126
1044	126
549B	126
624B	126
748C	126
527	125
626	125
325	124
372	124
427	124
447	124
727	124
731	124
631B	123
779	122
1031C	122
653	119
452	118
